Nha_thuoc,Dia_chi,dien_thoai
Nhà Thuốc Pharmatech - DS Trần Thị Lan Phương,"Số 2 ngõ 141, Nam Dư, Lĩnh Nam, Hoàng Mai, Hà Nội",0389804333
Nhà thuốc Quốc Hoàn - DS Quan Thu Huyền,"Kios 4 CT 12B KĐT Kim văn Kim Lũ, Nguyễn Xiển, Đại Kim, Hoàng Mai, Hà Nội",0906265185
Nhà thuốc Tâm Đức - DS Lê Thị Quỳnh Nga,"Số 21 B1, KĐT Đại Kim, Đại Kim, Hoàng Mai, Hà Nội",0983669385
Nhà thuốc Thanh Bình - DS Dương Thị Quyên,"Số 1/293, Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0436341541
Nhà thuốc Thành Công - DS Phan Thị Hồng Thắm,"Số 18, Định Công, Định Công, Hoàng Mai, Hà Nội",0985084570
Nhà thuốc Thành Đông - DS Nguyễn Huy Cửu,"Số 224B, Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0354866679
Nhà thuốc Thanh Tâm - DS Lê Thị Ngọc Lan,"Số 255, Tân Mai, Tân Mai, Hoàng Mai, Hà Nội",0974714509
Nhà thuốc Thảo Nguyên - DS Phạm Thế Hùng,"Số 180 tổ 10, Yên Duyên, Yên Sở, Hoàng Mai, Hà Nội",0983146094
Nhà thuốc Thu Ngọc DS Lưu Ngọc Quang,"Số 314, Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội",0965294166
Nhà thuốc Thu Trang 1 - DS Trần Văn Diệp,"Số 96, Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội",0982872002
Nhà thuốc Tiến Đức số 5 - DS Bùi Cao Cường,"617 H3, Tân Mai, Thịnh Liệt, Hoàng Mai, Hà Nội",0913881076
Nhà Thuốc Trung Tâm Phương Nam - DS: Đoàn Thị Lan Anh,"Số 36 Lô CT9, Khu chợ TM Định Công, Định Công, Hoàng Mai, Hà Nội",0913320269
Nhà Thuốc Trường Chinh -DS: Đỗ Thi Hải Châu,"Số 377 Ngõ 192, Lê Trọng Tấn, Định Công, Hoàng Mai, Hà Nội",0969160392
Nhà thuốc Trường Giang - DS Vũ Văn Hãn (DS Vũ Văn Hãy),"Số 1 Ngõ 683, Nguyễn Khoái, Thanh Trì, Hoàng Mai, Hà Nội",0975311193
Nhà thuốc Trường Phúc - DS Nguyễn Thị Thuận,"Số 130, Nam Dư, Lĩnh Nam, Hoàng Mai, Hà Nội",0984492088
Nhà thuốc Tư Nhân - DS Bùi Thị Thanh Mai,"Số 274, Trương Định, Tương Mai, Hoàng Mai, Hà Nội",0392746060
Nhà thuốc tư nhân - DS Nguyễn Thị Ngọc,"Số 125 Giáp Nhị tổ 18, Thịnh Liệt, Thịnh Liệt, Hoàng Mai, Hà Nội","0965681968, 0914921403"
Nhà Thuốc Tư Nhân - DS Nguyễn Thị Thuần,"Số 25 ngõ 293, Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0988784263
Nhà thuốc tư nhân - DS Trần Văn Thịnh,"Số 92, Mai Động, Mai Động, Hoàng Mai, Hà Nội",0975738898
Nhà Thuốc Tư Nhân An Khang - DS Bùi Thị Minh Thùy,"Số 17/299, Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0975102766
"Nhà Thuốc Tư Nhân bảo Khánh 6, DS Nguyễn Thị Thanh Xuân","Số 170, Kim Giang, Đại Kim, Hoàng Mai, Hà Nội",0353250018
Nhà thuốc Tư Nhân Hoàng Long - DS Trần Thị Thanh Vân,"Số 94, Tân Mai, Tân Mai, Hoàng Mai, Hà Nội",0336681828
Nhà thuốc tư nhân Minh Tiến I - Ds Hoàng Thị Nga,"Số 11 ngõ 88/61, Giáp Nhị, Thịnh Liệt, Hoàng Mai, Hà Nội",0964894045
Nhà thuốc tư nhân Ngọc Linh - DS Trần Thị Hoa,"Số 111, Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội",0971481716
Nhà thuốc tư nhân Tâm An số 1- DS Cao Thị Hồng Nhung,"Lô 19- B14, KĐT Định Công, Định Công, Hoàng Mai, Hà Nội",0978415564
Nhà thuốc Tư nhân Thanh Đàm - DS : Lê Thị Thắm,"Số 79, Thanh Đàm, Thanh Trì, Hoàng Mai, Hà Nội",0356060939
Nhà thuốc Tuyết Anh - DS: Đinh Thị Minh,"Số 60B, Ngõ 88, Thịnh Liệt,, Thịnh Liệt, Hoàng Mai, Hà Nội",0988867536
Nhà thuốc Việt Lương II - DS Đinh Quang Tuấn,"Ki ot 5 Nơ 1, Pháp Vân, Hoàng Liệt, Hoàng Mai, Hà Nội",0988765210
Nhà Thuốc Vũ Anh 2 - DS: Bạch Văn Dương,"Số 390, Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội",0377293026
NT 24h - DS: Luyện Văn Chiến,"Kiot 02 - VP6, Bán Đảo Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0398767144
NT Alo sức khoẻ - DS: Hà Văn Lâm,"Số 159 A4 KDT Đại Kim, Định Công, Hoàng Mai, Hà Nội",0971599868
NT An Phúc 1 - DS Trần Thị Minh Thu,"Số 152, Tân Mai, Thịnh Liệt, Hoàng Mai, Hà Nội",0973962370
NT An Tâm - DS: Nguyễn Thị Hồng,"Số 142, Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0906246755
NT Anh Đức - DS Nguyễn Thị Ngọc Dung,"Số 92 tổ 5, Yên Duyên, Yên Sở, Hoàng Mai, Hà Nội",0984861393
NT Bảo An 2 DSPT : Nguyễn Thị Hồng Yến,"sảnh A chung cư Sky cetral 176, Định Công, Định Công, Hoàng Mai, Hà Nội",0934551686
NT Bảo Ngân - DS Trần Thị Thu Hiền,"số 26TT04 Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0915334398
NT Cộng Hòa 2 - DSPT Đỗ Thị Châu,"Số 18, Lĩnh Nam, Mai Động, Hoàng Mai, Hà Nội",0978139962
NT ĐH Dược Hà Nội,"Số 76, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0393306189
NT Đức Anh - DS: Nông Thị Vân,"Số 151, Tân Mai, Tân Mai, Hoàng Mai, Hà Nội",0972180115
NT Đức Thắng- DS Đỗ Thị Hạnh,"Số 101, Hoàng Mai, Mai Động, Hoàng Mai, Hà Nội",0982313555
NT Dược Hà Nội - Ds Phạm Thế Việt,"Số 1, D2. TT4, Bắc Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0947593466
NT Gia Đình - DS: Tạ Thu Hòa,"Số 50, Ngõ 255,, Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội",0964374806
NT Hà Nguyễn - DS:Nguyễn Thị Hà,"Ô 13,Lô 4 Đền Lừ 2, Hoàng Văn Thụ, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0987859379
NT Hải Đăng 2,"Ki ot số 6 Tòa nhà B1 HUD, Tây Nam Linh Đàm, Thịnh Liệt, Hoàng Mai, Hà Nội",0971716586
NT HI - PHARMA - DS: Khương Thị Hồng Vân,"Số 19 Đường Maket .Khu sunrise B,KĐT The Manor Central park, Nguyễn Xiển, Đại Kim, Hoàng Mai, Hà Nội",0931203390
NT Hồng Phước - DS: Nguyễn Hoàng Long,"Kiot 10 HH2A KDT Linh đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0984423782
NT Hương Xuân - DS Phan Thị Hải,"Ki ot 8 CT4CX2, Bắc Linh Đàm, Đại Kim, Hoàng Mai, Hà Nội",0359862888
NT Huy Hoàng - DS Ngô Văn Thống,"Số 108, Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội",0949021192
NT Huy Hoàng - DS: Phạm Thị Thanh Mai,"Số 136 , Tân khai, Vĩnh Hưng, Hoàng Mai, Hà Nội",0966946836
NT Khánh Phương DS : Hoàng Thị Bích,"CT2B - 1 - 10 - 1 Tòa CT2B, Yên Sở, Yên Sở, Hoàng Mai, Hà Nội",0962712222
NT Minh Quân,"số 197 Yên Duyên, Yên Sở, Hoàng Mai, Hà Nội",0979570766
NT Minh Tú - DS: Nguyễn Thị Thùy Dương,"Số 80 , Nguyễn Đức Cảnh, Tương Mai, Hoàng Mai, Hà Nội",0968165962
NT Nam Khánh 01 - DS: Đào Văn Quân,"TT2, LK 12, KĐT Kim Văn, Nguyễn Xiển, Đại Kim, Hoàng Mai, Hà Nội",0975608592
NT Nguyễn 2 - DS: Đỗ Huyền Trang,"CT1A - 01 LOT B, Chung cư khu đô thị Gamuda Gardens, Trần Phú, Hoàng Mai, Hà Nội",0984602468
NT Nguyễn Gia - DS Vương Minh Tuấn,"Số 24 ngõ 255,, Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0345246849
NT Nguyễn Thị Huyền - DS: Nguyễn Thị Huyền,"Số 35 Ngõ 521, Trương Định, Thịnh Liệt, Hoàng Mai, Hà Nội",0968886127
NT Nguyễn Tĩnh - DS: Nguyễn Thị Tĩnh,"Số 6 ngõ 88, Giáp Nhị, Thịnh Liệt, Hoàng Mai, Hà Nội",0988500920
NT Phi Hùng - DS: Nguyễn Mậu Dược,"ô 21, TT05 , KĐT Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0973410968
NT Phú Dung - DS: Đinh Duy Thủy,"Số 4 ngõ 51 tổ 18 , Lương Khánh Thiện, Tương Mai, Hoàng Mai, Hà Nội",0394029614
NT Phương - DS: Vũ Văn Thi,"Số 121/179, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0975336495
NT Phương Chi số 1 - DS: Nguyễn Xuân Phát,"Số 417, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0949429989
NT Phương Thảo - DS Nguyễn Phương Thảo,"Số 101 - B3, Tân Mai (Đ/c thực tê: Số 236 Tân Mai ) , Tân Mai, Tân Mai, Hoàng Mai, Hà Nội",0838560567
NT số 6 Tâm An - DS Dương Văn Thọ,"Số 408, Trương Định, Tân Mai, Hoàng Mai, Hà Nội",0939626879
NT Thái Bình - DS: Phan Thị Nhàn,"Số 245, Định Công, Định Công, Hoàng Mai, Hà Nội",0948288345
NT Thăng Long - Ds Trần Thị Hồng Lê,"Số 15 Tổ 15, Gốc Đề, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0984525232
NT Thanh Hà - DS: Quách Hồng Điệp,"Số 107 ngõ 179, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0983723610
NT Thanh Trúc - DS Đỗ Thị Lan,"Số 18/194, Thanh Đàm, Thanh Trì, Hoàng Mai, Hà Nội",0976756897
NT Thiên An,"Số 272 Lĩnh Nam,, Lĩnh Nam, Hoàng Mai, Hà Nội",0372857266
NT Thu Hương 1 - DS Hồ Minh Tấn,"Số 1B, Lương Khánh Thiện, Tân Mai, Hoàng Mai, Hà Nội",0973630390
NT Thu Thủy -DS: Mai Thị Thu Hà,"Ô 3, Tầng 1, nhà B Tòa nhà Hateco, Yên Sở, Yên Sở, Hoàng Mai, Hà Nội",0926686880
NT Tiến Thành -Ds Đặng Thị Hương,"Số 80, Ngõ 83, Đường Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội",0966701210
NT Trang Anh - DS: Phạm Thị Luyến,"kiot Số 10, Tòa D1 KĐT Kim Văn, Nguyễn Xiển, Đại Kim, Hoàng Mai, Hà Nội",0979308666
NT Trịnh Hoa - DSDH: Vũ Thị Ngọc Hoa,"Số 220, Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội",0964307082
NT Trung Anh,"Số 40, Ngõ 230, Định Công Thượng, Định Công, Hoàng Mai, Hà Nội",0945150505
NT Trung Nguyên - DS Phạm Việt Hùng,"Số 40 - 42 Ngõ 2, Bằng B, Hoàng Liệt, Hoàng Mai, Hà Nội",0987056209
NT Trường Xuân DS: Vũ Quang Trường,"Số 59, tổ 20, Yên Sở, Yên Sở, Hoàng Mai, Hà Nội",0979361986
NT tư nhân Trung Dũng - DS: Dương Lan Hương,"số 33 nghách 32 ngõ 108, phố Đông Thiên, Lĩnh Nam, Hoàng Mai, Hà Nội",0988516815
NT Tuệ Đức - DS Nguyễn Thị Khánh Ly,"Số 139, Nguyễn Đức Cảnh, Tương Mai, Hoàng Mai, Hà Nội",0982781235
NT Vân Anh - DS: Nguyễn Thị Thủy,"Số 393 Trương Định,, Tân Mai, Hoàng Mai, Hà Nội",0968135556
NT Vicare pharamacy - DS: Phạm Thị Yến,"kiot 88 HH3C, KĐT Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0978992770
NT Vin Pharmacy. Ds Phạm Phương Thảo,"Kiot10 Toà HH2C Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",0971031725
NT Xuân Nghĩa 2 - DSPT Nguyễn Xuân Nghĩa,"Số 43, Thanh Đàm, Thanh Trì, Hoàng Mai, Hà Nội",0968113194
NT: Mai Phương - DS:Lê văn Đạt,"số 88 Đường sông sét, Đầu Cầu Giáp Tứ, Thịnh Liệt, Hoàng Mai, Hà Nội",0983759761
Phòng khám chuyên khoa Tai- Mũi- Họng,"Số 246, Nam Dư, Lĩnh Nam, Hoàng Mai, Hà Nội",0982713776
(hủy) - Nhà thuốc Việt Hưng - DS Phạm Ngọc Kiểm,"Kiot số 6 nhà P2 KĐT Việt Hưng, Đức Giang, Long Biên, Hà Nội",0963602872
(hủy) - NT Việt Anh,"Lô 80 chung cư HC/319 đường Hồng Tiến, Bồ Đề, Long Biên, Hà Nội",0966842569
Công ty CP DP Pharmacity (Hệ Thống Pharmacity),"Số 386 (Nhà Kho C1 - Khu Công Nghiệp Hà Nội – Đài Tư), Nguyễn Văn Linh, Phúc Lợi, Long Biên, Hà Nội",0707200007
Hủy - Nhà thuốc Khánh Linh - DS Nguyễn Thị Minh Nguyệt,"Số 202 B7 tổ 26, Đức Giang, Đức Giang, Long Biên, Hà Nội",0328957265
Kho NT Cộng Đồng,"Số 19 ngõ 157/16 tổ 17, Thượng Thanh, Long Biên, Hà Nội",0968365434
Nhà thuốc 24H - DS Đặng Thị Minh,"Kiôt 2, 40, Vũ Xuân Thiều, Sài Đồng, Long Biên, Hà Nội",0984556235
Nhà thuốc 600 - DS Trần Phương Giang,"Số 2 ngõ 564/37, Nguyễn Văn Cừ, Gia Thụy, Long Biên, Hà Nội",0935686899
Nhà thuốc An Bình - DS Trần Thị Thanh Hòa,"Số 69, Trường Lâm, Đức Giang, Long Biên, Hà Nội","0963816910, 02466625617"
Nhà Thuốc Anh Bằng - DS Đỗ Thị Huế,"Số 34 ngách 94/14, Mai Phúc, Phúc Đồng, Long Biên, Hà Nội",0383810604
Nhà thuốc Bảo Châu- DS Nguyễn Thị Thủy,"Số 316, phố Ngọc Trì,tổ 11, Thạch Bàn, Long Biên, Hà Nội",0961995266
Nhà thuốc Chúc Hòa - DS Đỗ Thị Ngọc Hòa,"Số 11B, Trường Lâm, Đức Giang, Long Biên, Hà Nội",0912309436
Nhà thuốc Chương Dương - DS Nguyễn Huy Hoàng,"Số 245 tổ 6, Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội",0986090388
Nhà thuốc Đăng Thành - DS Lê Ngọc Hoàng,"Số 259, Bồ Đề, Bồ Đề, Long Biên, Hà Nội",0915099973
Nhà thuốc Diễm - DS Kiều Thị Diễm,"Kios 6,khu chợ Phúc Lợi, tổ 5,, Phúc Lợi, Phúc Lợi, Long Biên, Hà Nội",0973995416
Nhà Thuốc Gia Đình - DS Nguyễn Viết Quân,"Số 17/87/56 tổ 1, Thạch Cầu, Long Biên, Long Biên, Hà Nội",0972756382
Nhà thuốc Gia Hiển - DS Đặng Thị Nhiên - Người Đại diện: Phạm Tuyết Mai,"Số 188, Tư Đình, Long Biên, Long Biên, Hà Nội","0902423669, 0996993669"
Nhà thuốc Gia Huy - DS Chu Thị Biên,"Số 8 ngõ 24, Nguyễn Lam, Phúc Đồng, Long Biên, Hà Nội",0839652868
Nhà thuốc Hà Anh - DS Nghiêm Thị Minh,"NO17, 1, KĐT Sài Đồng, Sài Đồng, Long Biên, Hà Nội",0969502686
Nhà thuốc Hải Dương - DS Phạm Thái Hồng Dương,"Tập thể cầu 12 Tổ 2, Bồ Đề, Bồ Đề, Long Biên, Hà Nội",0914811983
Nhà thuốc Hải Phương - DS Nguyễn Thị Thanh Dung,"Số 50, Hoa Lâm, Việt Hưng, Long Biên, Hà Nội",0989191345
Nhà thuốc Hải Thơm,"Số 354, Bắc Cầu,tổ 37, Ngọc Thụy, Long Biên, Hà Nội",0934618847
Nhà thuốc Hải Trang - DS Phạm Minh Hải,"Số 4 ngách 466/20, Ngô Gia Tự, Việt Hưng, Long Biên, Hà Nội",0934521787
Nhà thuốc Hoàng Anh - DS Phạm Như Thơ,"Tổ 21, Thượng Thanh, Thượng Thanh, Long Biên, Hà Nội",0976485933
Nhà thuốc Hồng Hà - DS Lương Lê Uyên Trang,"Số 165, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội","0834716460, 02462950018"
Nhà thuốc Hồng Minh - DS Nguyễn Hải Yến,"Số 10, Phố Trạm, Long Biên, Long Biên, Hà Nội",0357114808
Nhà Thuốc Hưng Nhung - DS Ngô Thị Bích Phượng,"Số 41 Ngõ 42, Sài Đồng, Sài Đồng, Long Biên, Hà Nội",0983513007
Nhà thuốc Hương - D/s: Nguyễn Thị Thanh,"Số 03, ngõ 22, tổ 4 làng Kim Quan, Việt Hưng, Đức Giang, Long Biên, Hà Nội",0968617698
Nhà thuốc Hường - DS Nguyễn Thị Thanh Hương,"Kiot 3, Học Viện Hậu Cần, Ngọc Thụy, Long Biên, Hà Nội",0388385864
Nhà thuốc Hương Long - DS Mai Hoài Thương,"Số 69 đường Lý Sơn, Ngọc Thụy, Long Biên, Hà Nội",0976937079
Nhà thuốc Lâm Linh - DS Nguyễn Thị Hải Vân,"Số 1B2 tổ 16, Phúc Đồng, Phúc Đồng, Long Biên, Hà Nội",0968568294
Nhà thuốc Lâm Nhu - DS Lâm Thị Nhu,"Số 2 lô 9 , đường cổ linh,tổ 23, Long Biên, Long Biên, Hà Nội",0984568398
Nhà thuốc Long Giang - DS Chu Thị Hằng,"Số 94, Vũ Xuân Thiều, Sài Đồng, Long Biên, Hà Nội",0438771217
Nhà thuốc Long Hương,"số 8, ngõ 99/47, tổ 5, Chu Huy Mân, Phúc Đồng, Long Biên, Hà Nội",0972361290
Nhà thuốc Long Khánh - DS Nguyễn Thị Sâm,"Số 43 tổ 10, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0979406909
Nhà thuốc Long Tâm - DS Đoàn Nguyễn Thành Đạt,"Số 19, ngõ 206, Cổ Linh, Long Biên, Long Biên, Hà Nội",0975389672
Nhà thuốc Minh Hải,"Số 85, Đức Giang, Đức Giang, Long Biên, Hà Nội",0975561368
Nhà thuốc Minh Khang - DS: Nguyễn Thị Nhung,"50, Đức Giang, Đức Giang, Long Biên, Hà Nội",0349595299
Nhà thuốc Minh Quang - Người đại diện: Nguyễn Minh Tuyết,"Số 271, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0915365678
Nhà thuốc Minh Thành - DS: Lê Thị Tươi,"Số 200, Thanh Am, Thượng Thanh, Long Biên, Hà Nội",0936319791
Nhà thuốc Minh Tú - DS Lê Thị Nội,"Số 116, Nguyễn Sơn, Ngọc Lâm, Long Biên, Hà Nội",0945667074
Nhà thuốc Nam Hằng - DS Lê Thị Thu Hằng,"Số 96C, Hoàng Như Tiếp, tổ 8, Bồ Đề, Long Biên, Hà Nội",0966429869
Nhà thuốc Nam Hương - DS Phạm Thị Huệ,"Số 64, Việt Hưng, Đức Giang, Long Biên, Hà Nội",0983594383
Nhà thuốc Nguyễn Dung,"Số 19 ngõ 99, Chu Huy Mân, Phúc Đồng, Long Biên, Hà Nội",0988446461
Nhà thuốc Nguyễn Lương II - DS Vũ Quang Duyệt,"Số 192, Đức Giang, Đức Giang, Long Biên, Hà Nội",0978804508
Nhà thuốc Phúc An - DS Nguyễn Bá Vinh,"Số 35 Tổ 4, Giang Biên, Long Biên, Hà Nội",0906241256
Nhà thuốc Phúc Hải - DS Nguyễn Thị Thu Hương,"Số 163, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội",0975506527
Nhà thuốc Phương Liên - DS Phạm Thị Ngân,"Số 146, Ái Mộ, Bồ Đề, Long Biên, Hà Nội",0977973128
Nhà Thuốc Phương Linh - DS Phạm Thị My - Người đại diện : Nguyễn Thị Tâm,"Số 86, Hoàng Như Tiếp, Bồ Đề, Long Biên, Hà Nội",0966197128
Nhà thuốc Phương Thảo - DS Trần Thị Xứng,"Số 36 Tổ 13, Thượng Thanh, Thượng Thanh, Long Biên, Hà Nội",0986941046
"Nhà Thuốc Phương Thảo , DS: Lê Thị Phương Thảo","Số 19 , ngõ 95/34, tổ 12, Vũ Xuân Thiều, Phúc Lợi, Long Biên, Hà Nội",0983385079
Nhà thuốc Quang Anh- DS Trần Thị Lý,"Số 59 ngách 466, Ngô Gia Tự, Việt Hưng, Long Biên, Hà Nội",0398114418
Nhà thuốc Quang Hưng - DS Trần Thị Thủy,"Số 104-A8 tổ 28, Đức Giang, Đức Giang, Long Biên, Hà Nội",0912482774
Nhà Thuốc Tâm Đức - DS Hà Thị Linh Nhâm,"số 33, tổ 5, May 10, Sài Đồng, Long Biên, Hà Nội",0912860246
Nhà thuốc Tâm Đức DS Vương Ngọc Tư,"Số 216, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0838189850
Nhà thuốc Tâm Dược - DS Cao Bá Cảnh,"Số 98, Bồ Đề, Bồ Đề, Long Biên, Hà Nội",0919951207
Nhà thuốc Tâm Tình - DS Nguyễn Thị Hồng Lê,"Số 77 tổ 8, Thượng Thanh, Thượng Thanh, Long Biên, Hà Nội",0986119623
Nhà Thuốc Tân Việt - DS: Trần Văn Thắng,"Số 82, Sài Đồng, Sài Đồng, Long Biên, Hà Nội",0832898258
Nhà thuốc Thanh Bình - DS Lê Văn Soái,"Số 55, Trường Lâm, Đức Giang, Long Biên, Hà Nội",0383582697
Nhà thuốc Thành Đức - DS Nguyễn Thị Hồng Hạnh,"Số 14, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0912698628
Nhà thuốc Thành Dung - DS Phạm Thanh Tú,"Số 99, Phố Sài Đồng, Sài Đồng, Long Biên, Hà Nội",0355613797
Nhà thuốc Thanh Hoa I- DS Nguyễn Thị Hồng Hạnh,"Số 14/366, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội","0913025769, 02438737746"
Nhà thuốc Thanh Loan - DS Phạm Thị Hồng Thái,"Số 239, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0989361904
Nhà thuốc Thanh Tùng - DS Phạm Thị Kim Châu,"Số 183, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội",0387740329
Nhà thuốc Thuộc Đường - DS Nguyễn Bích Thuỷ,"Số 1, Đức Giang, Đức Giang, Long Biên, Hà Nội",0422456426
Nhà thuốc Thùy Chi,"Số 33 ngõ 206, Cổ Linh, Long Biên, Long Biên, Hà Nội",0988026399
Nhà Thuốc Thùy Chi 2 - DS Lương Đình Thuần,"Số 68 ngõ 61, phố Trạm, Long Biên, Long Biên, Hà Nội",0988026399
Nhà thuốc Tình Quang - DS Phạm Thị Tuyết Lành,"Số 18, tổ 3, Tình Quang, Giang Biên, Long Biên, Hà Nội",0983960591
Nhà thuốc tư nhân - DS Phạm Hồng Minh,"Số 2A/158, Nguyễn Sơn, Bồ Đề, Long Biên, Hà Nội",0915343281
Nhà thuốc tư nhân 02 - DS Vũ Đức Lợi,"Số 2 Ngõ 96 tổ 13, Thượng Thanh, Thượng Thanh, Long Biên, Hà Nội",0943660660
Nhà Thuốc Tư Nhân Quang Minh - DS Lại Thị Minh Tâm,"Số 151, Long Biên, Ngọc Lâm, Long Biên, Hà Nội",0945025777
Nhà thuốc tư nhân Trúc Tâm 3,"Số 158, Nguyễn Sơn, Ngọc Lâm, Long Biên, Hà Nội",0988709818
Nhà thuốc tư nhân Việt Tiến - DS Đỗ Thị Hồng Sâm,"Số 2A1, Phúc Đồng, Phúc Đồng, Long Biên, Hà Nội",0946091967
Nhà thuốc Tuấn Hưng 1- DS Trần Thị Hồng,"Số 186 tổ 12, Bồ Đề, Bồ Đề, Long Biên, Hà Nội",0904090398
Nhà thuốc Việt Hưng - DS Phan Thị Thanh Hằng,"Số 122 Ngõ 466, Ngô Gia Tự, Việt Hưng, Long Biên, Hà Nội",0904690296
Nhà thuốc Vietmec,"139, Hồng Tiến, Bồ Đề, Long Biên, Hà Nội",0984527569
Nhà thuốc Xuân Hằng - DS Ngô Huy Phương,"Số 52, Ngô Gia Khảm, Gia Thụy, Long Biên, Hà Nội",0985892859
Nhà thuốc Yến Anh - DS Đàm Thị Yến,"Số 41 Ngõ 154, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội",0972557586
NT 91 - DS: Phan Thị Hồng Trang,"Số 91, Ngõ 66, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội",0917161886
NT An Dược -DS Nguyễn Khánh Linh,"164A, Bồ Đề , Bồ Đề, Long Biên, Hà Nội",0396689148
NT An Tâm - Ds: bùi thu tươi,"Số 24, Lệ Mật, Việt Hưng, Long Biên, Hà Nội",0972092438
NT Anh Đức - DS Nguyễn Thị Thúy Hằng,"Số 4/23/56, Thạch Cầu, Long Biên, Long Biên, Hà Nội",0936580579
NT Bình An - DS nguyễn thị hồng tâm,"Số 30, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội",0986967900
NT Đức Hà - DS Nguyễn Văn Tuân,"Số 98B, Tổ 16, Thạch Bàn, Long Biên, Hà Nội",0987482500
NT Gia Linh - DS : Nguyễn thị Minh Nguyệt,"Số 81 Phố Xuân Đỗ, Tổ 11, Cự Khối, Long Biên, Hà Nội",0964500889
NT Gia Ngân - DS: Nguyễn Thị Phương Thùy,"Số 83, Phố Trạm, Long Biên, Long Biên, Hà Nội","0968034108, 02438744246"
NT Hạnh Phúc -DS Hồ Thị Quỳnh Trang,"số 4, Hoàng Như Tiếp , Bồ Đề, Long Biên, Hà Nội",0356817758
NT HD - Vina - DS: Ds Phạm Thu Hương,"số 72, ngách 765/68 tổ 5, Nguyễn Văn Linh, Sài Đồng, Long Biên, Hà Nội",0984325836
NT Hoàng Yến - DS Trần Thị Đoan Trang,"Số 26 ngõ 321, Phúc Lợi, Phúc Lợi, Long Biên, Hà Nội",0985665354
NT Hồng Thắm - DS: Lê Thị Thắm,"151 , Bắc Cầu, Ngọc Thụy, Long Biên, Hà Nội",0972075456
NT Huy Hoàng - DS: Bùi Huy Hoàn,"Số 6/560/31, Nguyễn Văn Cừ, Gia Thụy, Long Biên, Hà Nội",0988718125
NT Mẫn Pharmacy- DS: Phạm Huy Mẫn,"Số 4 ngõ 253, Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội",0986944669
NT Minh Tâm - DS Lê Huy Thành,"Số 68 tổ 6, Tư Đình, Long Biên, Long Biên, Hà Nội",0988306826
NT Minh Thủy - DS: Đỗ Thị Phương,"Số 41 phố Phú Viên,tổ 25, Bồ Đề, Long Biên, Hà Nội",0979506087
NT Minh Trang - DS: Trần Thị Bích Hạnh,"Số 11 lô 8 tổ 23, Cổ Linh, Long Biên, Long Biên, Hà Nội",0982918692
