,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
201,TRƯỜNG CAO ĐẲNG SƯ PHẠM YÊN BÁI,5200154849,tổ 12 - Phường Đồng Tâm - Thành phố Yên Bái - Yên Bái.,Đỗ Thị Thanh Thủy,852218,1999-02-07,Chi cục Thuế TP Yên Bái,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đồng Tâm,Thành phố Yên Bái,Yên Bái.,YBI,MB,https://masothue.com/5200154849-truong-cao-dang-su-pham-yen-bai,Không chứa thông tin hoá đơn,,,,,,
202,TRƯỜNG CAO ĐẲNG NGHỀ YÊN BÁI,5200148813,Thôn Tuy lộc - Xã Văn Phú - Thành phố Yên Bái - Yên Bái.,Lê Anh Tuấn,852164,1998-11-02,Chi cục Thuế TP Yên Bái,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Văn Phú,Thành phố Yên Bái,Yên Bái.,YBI,MB,https://masothue.com/5200148813-truong-cao-dang-nghe-yen-bai,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
203,TRƯỜNG CAO ĐẲNG Y TẾ YÊN BÁI,5200148683,"Tổ 9, Đường Yên Ninh - Phường Yên Ninh - Thành phố Yên Bái - Yên Bái.",Nguyễn Tuấn Ngọc,852454,1998-11-02,Chi cục Thuế TP Yên Bái,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Yên Ninh,Thành phố Yên Bái,Yên Bái.,YBI,MB,https://masothue.com/5200148683-truong-cao-dang-y-te-yen-bai,Không chứa thông tin hoá đơn,,,,,,
204,TRƯỜNG CAO ĐẴNG SƯ PHẠM QUẢNG TRỊ,3200220801,Km3 Quốc lộ 9 - - Thành phố Đông Hà - Quảng Trị.,Trương Đình Thăng,0233580793,2005-04-29,Cục Thuế Tỉnh Quảng Trị,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/3200220801-truong-cao-dang-su-pham-quang-tri,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
205,TRƯỜNG CAO ĐẲNG Y TẾ QUẢNG TRỊ,3200196411,Khu phố 3 - Phường Đông Lương - Thành phố Đông Hà - Quảng Trị.,Trương Đức Tú,0975544977,2004-04-26,Cục Thuế Tỉnh Quảng Trị,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đông Lương,Thành phố Đông Hà,Quảng Trị.,QTI,MT,https://masothue.com/3200196411-truong-cao-dang-y-te-quang-tri,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
206,TRƯỜNG CAO ĐẲNG NGHỀ KỸ THUẬT - CÔNG NGHỆ TUYÊN QUANG,5000226197,Tổ 4 - Phường ỷ La - Thành Phố Tuyên Quang - Tuyên Quang.,Nguyễn Thanh Hà,0273823713,2004-10-21,Cục Thuế Tỉnh Tuyên Quang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường ỷ La,Thành Phố Tuyên Quang,Tuyên Quang.,TQG,MT,https://masothue.com/5000226197-truong-cao-dang-nghe-ky-thuat-cong-nghe-tuyen-quang,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
207,TRƯỜNG ĐẠI HỌC TÂN TRÀO,5000227761,Km 06 - Xã Trung Môn - Huyện Yên Sơn - Tuyên Quang.,Nguyễn Bá Đức,027 3892 014,2005-01-02,Cục Thuế Tỉnh Tuyên Quang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Trung Môn,Huyện Yên Sơn,Tuyên Quang.,TQG,MT,https://masothue.com/5000227761-truong-dai-hoc-tan-trao,Hoá đơn tự in,,,,,,
208,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT ĐIỆN BIÊN,5600189589,"Số 34, phố 01 - Phường Him Lam - Thành phố Điện Biên Phủ - Điện Biên.",Trần Bá Uẩn ( sinh năm 1978 - Điện Biên) Ẩn thông tin,02303810160,2008-12-29,Cục Thuế Tỉnh Điện Biên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Him Lam,Thành phố Điện Biên Phủ,Điện Biên.,DBN,MB,https://masothue.com/5600189589-truong-cao-dang-kinh-te-ky-thuat-dien-bien,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
209,TRƯỜNG CAO ĐẲNG SƯ PHẠM,5600189116,TDP 12 - Phường Mường Thanh - Thành phố Điện Biên Phủ - Điện Biên.,Nguyễn Thị Tuyết Mai,02153827315,2008-12-01,Cục Thuế Tỉnh Điện Biên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Mường Thanh,Thành phố Điện Biên Phủ,Điện Biên.,DBN,MB,https://masothue.com/5600189116-truong-cao-dang-su-pham,Không chứa thông tin hoá đơn,,,,,,
210,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT ĐIỆN BIÊN,5600189589,"Số 34, phố 01 - Phường Him Lam - Thành phố Điện Biên Phủ - Điện Biên.",Trần Bá Uẩn ( sinh năm 1978 - Điện Biên) Ẩn thông tin,02303810160,2008-12-29,Cục Thuế Tỉnh Điện Biên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Him Lam,Thành phố Điện Biên Phủ,Điện Biên.,DBN,MB,https://masothue.com/5600189589-truong-cao-dang-kinh-te-ky-thuat-dien-bien,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
211,TRƯỜNG CAO ĐẲNG Y TẾ ĐIỆN BIÊN,5600202818,TDP 10 - Phường Noong Bua - Thành phố Điện Biên Phủ - Điện Biên.,Cà Văn Diện ( sinh năm 1964 - Điện Biên) Ẩn thông tin,0230 3720117,2009-07-21,Cục Thuế Tỉnh Điện Biên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,Phường Noong Bua,Thành phố Điện Biên Phủ,Điện Biên.,DBN,MB,https://masothue.com/5600202818-truong-cao-dang-y-te-dien-bien,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
212,TRƯỜNG ĐẠI HỌC HÀ TĨNH,3000415514,"Số 447, đường 26-3, Phường Đại Nài - - Thành phố Hà Tĩnh - Hà Tĩnh.",Nguyễn Văn Đính,039885376,2007-08-17,Cục Thuế Tỉnh Hà Tĩnh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"3, Phường Đại Nài",Thành phố Hà Tĩnh,Hà Tĩnh.,HTH,MT,https://masothue.com/3000415514-truong-dai-hoc-ha-tinh,Không chứa thông tin hoá đơn,,,,,,
213,TRƯỜNG CAO ĐẲNG KỸ THUẬT VIỆT - ĐỨC HÀ TĨNH,3000320573,Số 371 Đường Nguyễn Công Trứ - Phường Nguyễn Du - Thành phố Hà Tĩnh - Hà Tĩnh.,Cao Thành Lê,039859336,2003-12-11,Cục Thuế Tỉnh Hà Tĩnh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Nguyễn Du,Thành phố Hà Tĩnh,Hà Tĩnh.,HTH,MT,https://masothue.com/3000320573-truong-cao-dang-ky-thuat-viet-duc-ha-tinh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
214,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ HÀ TĨNH,3000305776,Số 162 Đường Trần Phú - Xã Thạch Trung - Thành phố Hà Tĩnh - Hà Tĩnh.,Nguyễn Trọng Tấn,02393890024,2003-03-24,Cục Thuế Tỉnh Hà Tĩnh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Thạch Trung,Thành phố Hà Tĩnh,Hà Tĩnh.,HTH,MT,https://masothue.com/3000305776-truong-cao-dang-cong-nghe-ha-tinh,Hoá đơn giấy,https://masothue.com/3000376230-cong-ty-cp-cong-nghe-in-tri-tue,CÔNG TY CP CÔNG NGHỆ IN TRÍ TUỆ,3000376230 - CÔNG TY CP CÔNG NGHỆ IN TRÍ TUỆ,,,
215,TRƯỜNG CAO ĐẲNG SƯ PHẠM CAO BẰNG,4800275522,Km 4 - Phường Đề Thám - Thành phố Cao Bằng - Cao Bằng.,Đinh Ngọc Lượng,02063750842,2009-08-07,Chi cục Thuế Thành phố Cao Bằng,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đề Thám,Thành phố Cao Bằng,Cao Bằng.,CBG,MB,https://masothue.com/4800275522-truong-cao-dang-su-pham-cao-bang,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
216,TRƯỜNG CAO ĐẲNG SƯ PHẠM LÀO CAI,5300132609,Tổ 13 - Phường Bình Minh - Thành phố Lào Cai - Lào Cai.,Hoàng Văn Dương,840155,1998-12-16,Cục Thuế Tỉnh Lào Cai,Các tổ chức kinh tế khác,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,,,,,Phường Bình Minh,Thành phố Lào Cai,Lào Cai.,LCI,MB,https://masothue.com/5300132609-truong-cao-dang-su-pham-lao-cai,Không chứa thông tin hoá đơn,,,,,,
217,PHÂN HIỆU ĐẠI HỌC THÁI NGUYÊN TẠI TỈNH LÀO CAI,4600956595-001,Tổ 13 - Phường Bình Minh - Thành phố Lào Cai - Lào Cai.,Hoàng Văn Hùng,0989372386,2011-05-16,Cục Thuế Tỉnh Lào Cai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Bình Minh,Thành phố Lào Cai,Lào Cai.,LCI,MB,https://masothue.com/4600956595-001-phan-hieu-dai-hoc-thai-nguyen-tai-tinh-lao-cai,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
218,TRƯỜNG CAO ĐẲNG KỸ THUẬT VÀ CÔNG NGHỆ TỈNH HÀ GIANG,5100254913,Tổ 8 - Phường Quang Trung - TP Hà Giang - Hà Giang.,Nguyễn Minh Tuấn ( sinh năm 1966 - Hà Giang) Ẩn thông tin,02193810227,2008-09-23,Cục Thuế Tỉnh Hà Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Quang Trung,TP Hà Giang,Hà Giang.,HGG,MB,https://masothue.com/5100254913-truong-cao-dang-ky-thuat-va-cong-nghe-tinh-ha-giang,Không chứa thông tin hoá đơn,,,,,,
219,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG TỈNH LAI CHÂU,6200022192,Số 280 - phường Quyết Thắng - - Thành Phố Lai Châu - Lai Châu.,Lương Thị Tuyến ( sinh năm 1971 - Lai Châu) Ẩn thông tin,0231 3792 787,2009-05-14,Cục Thuế Tỉnh Lai Châu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,phường Quyết Thắng,Thành Phố Lai Châu,Lai Châu.,LCU,MB,https://masothue.com/6200022192-truong-cao-dang-cong-dong-tinh-lai-chau,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
220,TRƯỜNG CAO ĐẲNG BẮC KẠN,4700153626,Tổ 9- Phường Phùng Chí Kiên - Phường Phùng Chí Kiên - Thành Phố Bắc Kạn - Bắc Kạn.,Trịnh Tiến Long,0281873017,,Chi cục Thuế khu vực Bắc Kạn - Bạch Thông - Chợ Mới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Phùng Chí Kiên,Thành Phố Bắc Kạn,Bắc Kạn.,BCN,MB,https://masothue.com/4700153626-truong-cao-dang-bac-kan,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
221,TRƯỜNG ĐẠI HỌC AN GIANG,1600631954,18 Ung Văn Khiêm - Phường Đông Xuyên - Thành phố Long Xuyên - An Giang.,Võ Văn Thắng,076844211-840260,2002-10-09,Cục Thuế Tỉnh An Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,Phường Đông Xuyên,Thành phố Long Xuyên,An Giang.,AGG,MN,https://masothue.com/1600631954-truong-dai-hoc-an-giang,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
222,TRƯỜNG CAO ĐẲNG NGHỀ AN GIANG,1600668136,"165A Trần Hưng Đạo, P Bình Khánh - - Thành phố Long Xuyên - An Giang.",Đoàn Văn Hổ,076953739-076954339,2003-08-15,Cục Thuế Tỉnh An Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/1600668136-truong-cao-dang-nghe-an-giang,Không chứa thông tin hoá đơn,,,,,,
223,TRƯỜNG CAO ĐẲNG Y TẾ AN GIANG,1600353859,"Số 20, Nguyễn Văn Linh - Phường Mỹ Phước - Thành phố Long Xuyên - An Giang.",Huỳnh Văn Nên,076752103,1998-10-31,Cục Thuế Tỉnh An Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Mỹ Phước,Thành phố Long Xuyên,An Giang.,AGG,MN,https://masothue.com/1600353859-truong-cao-dang-y-te-an-giang,Hoá đơn giấy,https://masothue.com/1601390959-cong-ty-tnhh-thuong-mai-dich-vu-hiep-thanh-phat,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,1601390959 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP THÀNH PHÁT,,,
224,TRƯỜNG ĐẠI HỌC BÀ RỊA - VŨNG TÀU,3500785714,Số 80 Trương Công Định - Phường 3 - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu.,Nguyễn Thị Hoài Phương ( sinh năm 1966 - Nghệ An) Ẩn thông tin,064 532222,2007-03-22,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 3,Thành Phố Vũng Tàu,Bà Rịa,,,https://masothue.com/3500785714-truong-dai-hoc-ba-ria-vung-tau,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
225,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG BÀ RỊA VŨNG TÀU,3500645442,"Đường 3/2, phường 11 - - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu.",Trương Văn Linh,064 3530719,2004-02-24,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,"Đường 3/2, phường 11",Thành Phố Vũng Tàu,Bà Rịa,,,https://masothue.com/3500645442-truong-cao-dang-cong-dong-ba-ria-vung-tau,Không chứa thông tin hoá đơn,,,,,,
226,TRƯỜNG CAO ĐẲNG SƯ PHẠM BÀ RỊA,3500650548,"Số 689 Cách Mạng Tháng Tám, phường Long Toàn - - Thành phố Bà Rịa - Bà Rịa - Vũng Tàu.",Hồ Cảnh Hạnh,064 3825275,,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,"Số 689 Cách Mạng Tháng Tám, phường Long Toàn",Thành phố Bà Rịa,Bà Rịa,,,https://masothue.com/3500650548-truong-cao-dang-su-pham-ba-ria,Hoá đơn giấy,https://masothue.com/3500891335-cong-ty-tnhh-dich-vu-san-xuat-thuong-mai-van-hong,CÔNG TY TNHH DỊCH VỤ - SẢN XUẤT - THƯƠNG MẠI VĂN HỒNG,3500891335 - CÔNG TY TNHH DỊCH VỤ - SẢN XUẤT - THƯƠNG MẠI VĂN HỒNG,,,
227,TRƯỜNG CAO ĐẲNG DU LỊCH VŨNG TÀU,3500101604,Số 459 Trương Công Định - Phường 7 - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu.,Đinh Bích Diệp,0643859964,1998-09-19,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 7,Thành Phố Vũng Tàu,Bà Rịa,,,https://masothue.com/3500101604-truong-cao-dang-du-lich-vung-tau,Hoá đơn tự in,,,,,,
228,TRƯỜNG CAO ĐẲNG NGHỀ DẦU KHÍ,3500102189,"Số 43 đường 30/4, phường 9 - - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu.",Vũ Duy Hảo,064.838446,2000-07-24,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,Nhà nước,Ngừng hoạt động và đã đóng MST,,,,,"Số 43 đường 30/4, phường 9",Thành Phố Vũng Tàu,Bà Rịa,,,https://masothue.com/3500102189-truong-cao-dang-nghe-dau-khi,Không chứa thông tin hoá đơn,,,,,,
229,TRƯỜNG ĐẠI HỌC DẦU KHÍ VIỆT NAM,0100681592-032,Số 762 Cách Mạng Tháng Tám - Phường Long Toàn - Thành phố Bà Rịa - Bà Rịa - Vũng Tàu.,Lê Phước Hảo,0985163779,2011-08-08,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (được cấp thông báo MST),,,,,Phường Long Toàn,Thành phố Bà Rịa,Bà Rịa,,,https://masothue.com/0100681592-032-truong-dai-hoc-dau-khi-viet-nam,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
230,TRƯỜNG CAO ĐẲNG QUỐC TẾ VABIS,3500799428,"đường Trường Chinh, khu phố Vạn Hạnh - Phường Phú Mỹ - Thị Xã Phú Mỹ - Bà Rịa - Vũng Tàu.",Nguyễn Đình Thiện,064 3923194,2007-06-06,Cục Thuế Tỉnh Bà Rịa - Vũng Tàu,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Phú Mỹ,,,,,https://masothue.com/3500799428-truong-cao-dang-quoc-te-vabis,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
231,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG NGHỆ BÀ RỊA - VŨNG TÀU,3500677500,Thị trấn Đất Đỏ - - Huyện Đất Đỏ - Bà Rịa - Vũng Tàu.,Lê Duy Cầu,064866418,2004-12-06,Chi cục Thuế khu vực Bà Rịa - Long Điền - Đất Đỏ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Đất Đỏ,Huyện Đất Đỏ,Bà Rịa,,,https://masothue.com/3500677500-truong-cao-dang-ky-thuat-cong-nghe-ba-ria-vung-tau,Hoá đơn tự in,,,,,,
232,TRƯỜNG ĐẠI HỌC BẠC LIÊU,1900333980,"Số 178, đường Võ Thị Sáu - Phường 8 - Thành Phố Bạc Liêu - Bạc Liêu.",Từ Diệp Công Thành,822653,2007-01-05,Cục Thuế Tỉnh Bạc Liêu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 8,Thành Phố Bạc Liêu,Bạc Liêu.,BLU,MN,https://masothue.com/1900333980-truong-dai-hoc-bac-lieu,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
233,TRƯỜNG CAO ĐẲNG Y TẾ BẠC LIÊU,1900175251,"Số 01, Đường Đoàn Thị Điểm - Phường 3 - Thành Phố Bạc Liêu - Bạc Liêu.",Nguyễn Kim Nhang,0781 3822 222,1998-11-19,Cục Thuế Tỉnh Bạc Liêu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 3,Thành Phố Bạc Liêu,Bạc Liêu.,BLU,MN,https://masothue.com/1900175251-truong-cao-dang-y-te-bac-lieu,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
234,TRƯỜNG CAO ĐẲNG NGHỀ BẠC LIÊU,1900174473,"Số 68, Đường Tôn Đức Thắng, Khóm 7 - Phường 1 - Thành Phố Bạc Liêu - Bạc Liêu.",Đào Anh Tuấn,07813825652,1998-11-19,Cục Thuế Tỉnh Bạc Liêu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 1,Thành Phố Bạc Liêu,Bạc Liêu.,BLU,MN,https://masothue.com/1900174473-truong-cao-dang-nghe-bac-lieu,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
235,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT BẠC LIÊU,1900174466,"Số 10, đường Cách Mạng, Khóm 10 - Phường 1 - Thành Phố Bạc Liêu - Bạc Liêu.",Trần Công Chánh,07813822589,1998-11-18,Cục Thuế Tỉnh Bạc Liêu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 1,Thành Phố Bạc Liêu,Bạc Liêu.,BLU,MN,https://masothue.com/1900174466-truong-cao-dang-kinh-te-ky-thuat-bac-lieu,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
