Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
458(B2/2021),0305289273,Chưa niêm yết,323/A9 Đào Duy Anh - Phường 09 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-38423271/38423272,028-38423273,info@doannhat.com,
461(B2/2021),0100100537,Chưa niêm yết,Thị Trấn Đông Anh - Thị trấn Đông Anh - Huyện Đông Anh - TP. Hà Nội,024.3883.2442,024.3882.1413,info@khoaviettiep.com.vn,
463(B2/2021),0302008774,Chưa niêm yết,15/15 Khu phố 5 - Phan Văn Hơn - Phường Tân Thới Nhất - Quận 12 - TP. Hồ Chí Minh,,,liondaphaco@hcm.vnn.vn,
464(B2/2021),0304391796,Chưa niêm yết,383/7 Hoà Bình - Phường Hòa Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,Đang cập nhật..,đang cập nhật..,đang cập nhật..,
462(B2/2021),0200919993,Chưa niêm yết,Số 145 Đường 351-Xã Nam Sơn-Huyện An Dương-TP. Hải Phòng,0225-8830360,0225-3534818,nhattienjsc@gmail.com,
461(B2/2021),6001552050,Chưa niêm yết,"Block E, Tầng 3, Phòng 17-18, Lexington Residence, 67 Mai Chí Thọ - Phường An Phú - TP. Thủ Đức - TP. Hồ Chí Minh",0903 848 763,,ctyhanghoataynguyen@hcecorp.vn,
460(B2/2021),0302560110,OPC,1017 Hồng Bàng - Phường 12 - Quận 6 - TP. Hồ Chí Minh,028-37517111,028-38752048,info@opcpharma.com,
465(B2/2021),1200748517,Chưa niêm yết,527 - 529 Bình Thới - Phường 10 - Quận 11 - TP. Hồ Chí Minh,028-38585858,028-62641323,mhg@minhhung.vn,
466(B2/2021),0104008162,Chưa niêm yết,"Số 15, liền kề 10, khu đô thị Xa La - Phường Phúc La - Quận Hà Đông - Hà Nội",024-35642741,024-35642731,company@duafat.com.vn,
467(B2/2021),0101093709,Chưa niêm yết,Km 19 Quốc Lộ 3 - Xã Cổ Loa - Huyện Đông Anh - TP. Hà Nội,Đang cập nhật..,đang cập nhật..,đang cập nhật..,
468(B2/2021),0305141894,Chưa niêm yết,"Tầng 2, Tòa nhà CT4, Vimeco 2, phố Nguyễn Chánh - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",1900 55 88 66,,info@hopnhat.com,
469(B2/2021),0200575580,Chưa niêm yết,Số 12 Lạch Tray - Phường Lạch Tray - Quận Ngô Quyền - TP. Hải Phòng,0225-3593681,0225-3593680,sales@sonhaiphong.com,
470(B2/2021),2800976203,Chưa niêm yết,"Số 137, Đường Lý Nam Đế - Phường Đông Hương - TP. Thanh Hoá - Tỉnh Thanh Hoá",0237-3750250,0237-3710991,đang cập nhật..,
471(B2/2021),0101161194,Chưa niêm yết,129 + 131 Lê Thanh Nghị - Phường Đồng Tâm - Quận Hai Bà Trưng - TP. Hà Nội,0243-6280886,,Info@hacom.vn,
474(B2/2021),2300223949,Chưa niêm yết,KCN Tiên Sơn - Xã Hoàn Sơn - Huyện Tiên Du - Tỉnh Bắc Ninh,0241-3710031,0241-3710032,info@tienhung.com.vn,
473(B2/2021),3700912751,Chưa niêm yết,234 Đường Đt 747 ấp Tân Lương-Xã Thạnh Phước-Huyện Tân Uyên-Tỉnh Bình Dương,0274-3629126,0274-3629125,info@betongthuduc1.com,
476(B2/2021),0313717010,Chưa niêm yết,176A Trần Kế Xương - Phường 7 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-35173187,028-35173187,info@cbcons.com.vn,
472(B2/2021),2901274715,Chưa niêm yết,Xóm 2-Xã Nghi Phú- TP. Vinh-Tỉnh Nghệ An,038-3512183,038-3852286,vilaconic@vilaconic.com,
477(B2/2021),2800142141,Chưa niêm yết,274b Bà Triệu - Phường Đông Thọ - TP. Thanh Hóa - Tỉnh Thanh Hóa,0237-3963369,0237-3961144,info@tiennong.vn  Mạng,
478(B2/2021),0303614739,Chưa niêm yết,58 Thoại Ngọc Hầu - Phường Hòa Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,08-39731063,08-39731062,vtc@vietthinh.com.vn,
475(B2/2021),0101252356,Chưa niêm yết,Số 92 Vĩnh Hưng - Phường Vĩnh Hưng - Quận Hoàng Mai - TP. Hà Nội,1800 1799,đang cập nhật..,hotro@thaiduong.com.vn,
479(B2/2021),0103812250,Chưa niêm yết,Số 29 Võng Thị-Phường Bưởi- Quận Tây Hồ-TP. Hà Nội,04-35665855,04-62857600,đang cập nhật..,
480(B2/2021),0301447426,HPT,"Lô E2a-3 đường D1, khu Công nghệ cao, TP. Thủ Đức, TP.HCM",028 38 266 206,028 54108 801,info@hpt.vn,
481(B2/2021),2400345718,TDG,Lô D1 KCN Đình Trám-Xã Hoàng Ninh-Huyện Việt Yên-Tỉnh Bắc Giang,(84-204) 2244.903,(84-204) 3661.311,thaiduonggas@gmail.com,
483(B2/2021),0200380768,TR1,Số 271 Lê Thánh Tông - Phường Máy Chai - Quận Ngô Quyền - TP. Hải Phòng,0225-3822329 / 3822440,0225-3745679,info@traco.vn,
482(B2/2021),0105028958,Chưa niêm yết,Cụm công nghiệp vừa và nhỏ Nguyên Khê - Xã Nguyên Khê - Huyện Đông Anh - TP. Hà Nội,024-39656121,024-39656121,admin@miza.vn,
485(B2/2021),0301125316,Chưa niêm yết,97 Nguyễn Duy Dương - Phường 9 - Quận 5 - TP. Hồ Chí Minh,08-38300152,08-38350449,lephan@lephan.com.vn,
487(B2/2021),0900189171,Chưa niêm yết,KCN Phố Nối-Xã Dị Sử-Huyện Mỹ Hào-Tỉnh Hưng Yên,0221-3944146,0221-3944197,detechmotor@gmail.com,
484(B2/2021),0200656938,Chưa niêm yết,Km 89 Quốc lộ 5 mới - Thôn Mỹ Chanh - Xã Nam Sơn - Huyện An Dương - TP. Hải Phòng,0225-3589180,0225-3589181,contact.noithat190@gmail.com,
488(B2/2021),0104228175,EVG,Số 142 Đội Cấn-Phường Đội Cấn-Quận Ba Đình-Thành phố Hà Nội,024-3200 1234,024- 3569 0141,info@everland.vn,
486(B2/2021),0302429934,Chưa niêm yết,277b Cách Mạng Tháng 8 - Phường 12 - Quận 10 - TP. Hồ Chí Minh,19001829,08-38124977,tnh@dienmaythienhoa.vn,
489(B2/2021),0301275199,Chưa niêm yết,Số 8 Kim Biên - Phường 13 - Quận 5 - TP. Hồ Chí Minh,Đang cập nhật..,đang cập nhật..,info@lothacolt.com,
490(B2/2021),0102075540,Chưa niêm yết,"Quốc lộ 23B, Thôn Mỹ Lộc - Xã Thanh Lâm - Huyện Mê Linh - TP. Hà Nội",024-71081525,đang cập nhật..,info@vietducgroup.net,
491(B2/2021),0100105020,Chưa niêm yết,72 Nguyễn Chí Thanh - Phường Láng Thượng - Quận Đống Đa - TP. Hà Nội,04-38345211,04-38345212,đang cập nhật..,
493(B2/2021),0301893928,Chưa niêm yết,"Tầng 2, Tòa nhà thép Toàn Thắng, Số 8A - 10A Trường Sơn - Phường 2 - Quận Tân Bình - TP Hồ Chí Minh",028. 38 444 859,028. 38 460 445,sales@daitoanthang.com,
492(B2/2021),0100683952,Chưa niêm yết,Số 29 Trần Nhân Tông - Phường Nguyễn Du - Quận Hai Bà Trưng - TP. Hà Nội,024-73056899,024-39431158,cskh@btmc.vn,
495(B2/2021),0106300187,Chưa niêm yết,"M Floor, Viglacera Building 671 Hoang Hoa Tham, Ba Dinh, Hanoi, Viet Nam.",(+84-24) 3247 4683,(+84-24) 3247 4682,contact@giza.com.vn,
497(B2/2021),0301671386,Chưa niêm yết,18 Lũy Bán Bích - Phường Tân Thới Hòa - Quận Tân Phú - TP. Hồ Chí Minh,Đang cập nhật..,đang cập nhật..,info@mychau.com.vn,
496(B2/2021),0302776127,Chưa niêm yết,Lô 6-Đường E-KCN Tân Tạo-Phường Tân Tạo A-Quận Bình Tân-TP. Hồ Chí Minh,028-37540245,028-37540247,betongsmc@saigoninvest.com/betongsmc@saigoninvest.com,
494(B2/2021),0301521415,Chưa niêm yết,56 Phạm Hữu Chí-Phường 12- Quận 5-TP. Hồ Chí Minh,08-39555656,08-76002614,moglinh_ttp@yahoo.com,
498(B2/2021),0301096513,Chưa niêm yết,"Đường số 2, KCN Nhơn Trạch III, Giai đoạn 2 - Xã Long Thọ - Huyện Nhơn Trạch - Tỉnh Đồng Nai",0251-3566345 / 028-36226869,0251-3566344,info@martech.com.vn,
499(B2/2021),0301115156,Chưa niêm yết,435-437 Hoà Hảo-Phường 05-Quận 10-TP. Hồ Chí Minh,028-38533580,028-38534548,hungvuong.co@hcm.fpt.vn,
500(B2/2021),0314709816,Chưa niêm yết,"Tầng 4, Tòa nhà AB, 27B Nguyễn Đình Chiểu - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-73056686,,contact@onpoint.vn,
